eq,DIFFICULTY,DIRECTIONS
alchemyenchant,,"sleek wooden wand(pirates), enchant item scroll (ench 2211), x-enchant, pinch golden, create wand of greater enchantment"
alchemydivinity,,"reorx(thorb), zeboim(nytes), mishakal(irda), heroism potion(prot 2211), x-ench, x-prot, diamond, create austere symbol of divinity"
alchemyfabulous,,"some fiery red gloves(terzak), white chicken feather(ft), spool of glowing platinum thread(brass quest), fireball scroll (evo 3222111), x-evocation, golden pinch, create fabulous red gloves"
verminaard,,"kith area, eastish, raise medallion, columns, pull chip, nne, search debris, zhultar(key selector), rathan (6 mystic), smith (1 brass), maritta (3 iron), children (2 steel), vermi spawns 5am with ember, go in and out, ember dies and maritta follows you"
finale,,"
part 1 marshal
- lemish jail: clear aggroes, runaway goblin, enter vein, aid goblin, who opens arkvarr, loot emerald from arkvarr, black robed guardian, get key, dispel magic hand, get key
- leshak assistant, wait for him to walk out, kill assistant loot blueprints, kill leshak get head
- tamper blueprints is optional, present blueprints architect give you a key or you loot it if tampered
- lord lady ravenshadow, untie curtain
- flight marshal (hard), nomagic enter hatchery, smash eggs, enter opening
- head back to below leshak intersecion
part 2 shimmering
- bozak/guardian and free slave to get crowbar
- south to the, waterbreath, pull rug, loot diamond eel, pry grate, immobilize mage, back to the doors north
- shyskeli: kill steam, keep one non-steam alive, para-calm feces, kill shyskeli, heal/cure blood
- one man priest fight, shove bookshelf, reza nobash, and debuffs including ri, room west of reza is nomagic,
- killing reza spawns dargon on east side, flee is safe dragon, loot shimmering
- go to gabrielle, present head gabrielle, loot shimmering from desk
part 3 finale
- back to shyskeli say the weird words (detect magic circle), insert shimmering directions, central room.
- east is druid fist and hands and thorns for damage, then south for shaman dev spirits jar, then ne for cleric heal man, sunbolt/flamestrike aggrob mob, then mage puff north for aggro mob, loot pedestal half a key
- west is tankfights shades (fleeing go wrong way), man either lay kill, until behemoth, if facing away from you it bruises, thief to pick/loot pedestal
- combine key, unlock door, north, spellup, enterportal tank first, be nocharm, only alchemy quest person can loot the tome
"
alchemynotes,,"
getting alchemy:
1. listen jenna, kill draadis only quest person should loot deer
2. brew/scribe what she asks (relo, swarm, animate)
3. yellow tome finale, bring back to jenna
4. comfort spirit after shalzan cv, dont let the shaman control the spirit, u need det astral, maybe you can comfort even after shaman controls
using alchemy:
1. mage 3cl +3 3 slot body, shaman braces+attack chance, druid boots 7slot, cleric 68 slot
2. dragonascales, arcane might, eternal youth kinda trashy
3. magical onslaught 6 charges of level 36 force missile
4. main prep: soulkeep prevent rank loss upon death, chalice globe steel, enchantment, sorcerous defense lightningshield globe whiterune
5. pinches azurite, cuprite, quartz, malachite, bornite, turquoise, graphite, golden, diamond (upgrade 2:1 with transmutation scroll, cannot downgrade)
6. items which require a scroll can fail based on scribe skill. sorry shamans and filthy reincarnators
7. darvar broken medallion, alchemy mend, up deathtrap, mithril noom, mithril frayal, mithril sarson, combine for key, unlock safe, loot ring, enchantment wand, wear ring, start mage quest
"
cyan,,"silvinotes:
setup:
 - setup repairs
 - north, so thief disable, knock gates, south, stables, enter hole to stablemaster, loot anvil, back gates
 - lorac centre, free lorac, guide lorac, bedroom east up to the centre, bedroom, west east, push bed, fight, push bed, shove wall
 - down stairs to the south side, leave lit tank at 1 man fight entrance, group goes to centre
 - ent 4.cabinet fight demon, loot, slide mirror
 - key to leader, smith, combine key key, lorac bedroom, unlock door, south, enter portal

portal:
 - realm of illusion in the centre, 4 twisty dead ends
 - each fork has 2 cyans
 - real cyan is at the end of a path and has slaads. there is an intermediate cyan on the way to the real cyan. bugs spawn after intermediate cyan dies. spam wake until they stop spawning
 - intermediate cyan at fair teleports you back to middle spam wake
 - kill red bash death"
mage test 1,,"
Long lost forgotten library A Long Forgotten Laboratory: look chandelier/clean base/look base/peer base/look outline/walk door
In the Middle of a Dense Forest: rub sticks, blow ember gently, kick log, north
at the foot of a giant statue: climb tree, 4x pluck melon, shake branch, or snap branch, d;toss melon statue, climb tree, leap chasm, break arm, bridge ravine, climb statue, pry sphere, jump sphere, roll melon baby, throw melon baby, get all, enter portal
a damp prison cell: c 'web' web; shake bars; unlock cell; c 'rot' trunk; get robes; get note robes; read note; c 'whis' man/prisoner Your name is (whatever on note)
Over an Enchanted Isle: fireball, cold snap, gust, lightning bolt, touch cage, enter body?
library arcana: spin carousel, u;read pedestal; ;w;e;u;s;s;listen gnome;enter portal
gigantic mass of green crystal: rot the crystal, then go w s, kill a slime, eat the ooze, then search glob over and over till yellow ooze dies, go n e s
the Center of the universe: 'fly self', w, say yes, s, c 'cold snap', catch nixie, n, n, break orb, get robe, wear robe, e, ki demarax, c 'disp m' shard then c 'floating disc', rem all, put all disc....can bring them to next test
"
mage test 2,,"
a Forgotten conclave dungeon: rats n, get all skeleton; e; kill rat; get corpse; n; feed cat; s; w; n; o cat kill golem; o cat kill mage; listen mage

in a messy courtyard: n; shake flower; fan bees golem; get key corpse; w; spellup; s; get beaker; n; quaff beaker; s; n; e; s; flee; w; frag rat; s; eat mushroom; squeeze hole

before a Strange Structure of Rocks: search bookcase, get weapon, detect magic scrolls, throw away force bolt, recite stoneskin self

Outside a Strange Hut: c 'light', op door n;north;take prism;c 'light' prism;take broom;ignite broom;wie broom;wear prism;c 'shi';c 'blur' self;c 'rep' self, check score to make sure prism is working, blur, shield, strength, improved invis, repose, e, ki beast

Brightly lit room: look flesh;break bones;wie bone;look n;pry ruby; n;e;c 'fireball' ice.golem;c 'gust';s;c 'cold snap' fire.golem;c 'gust';e;c 'gust' sand.golem;c 'gust', gust on sand vs. mage to disable his magic, n;e;s;e, flip bone is possible

Standing on a ledge: squeeze crack, l rubble;l pile;l refuse;l rocks;l bones, rummage pile;rummage refuse;search pile;search refuse; l boulder... roll boulder statue? roll boulder? c 'c l';lolook crack;look tree;look cliff;squeeze crack move stones;n;n;l crack;take all crack;wie hammer fight statue, flee, fight hands, go back fight statue

A Dusty Chamber: look dust;look gouges;look wall;look quartz;c 'det invis';look sarcophagus;look scratches;open sarcophagus;take all sarcophagus;c 'strength' self;move sarcophagus;u;e;look shelves;look books;look book, listen mouth, read scratches, read writing, place cube square, insert sphere indentation, w place tetrahedron triangle, s, look steps, last letter first word is first letter of last word,  (kirito fisina ortigoop), invis golems, up, order golems assist, break sprocket, look circle, listen oval?

Sea of Gray: imagine weapon;imagine armor;imagine shard;imagine light;imagine help, or demon spe, or demon m, or demon sk, wander kill stalker, imagine exit, twist staff
"
mage test 3a,,"
a small study: spellup, pull board (push board to get back); protect dwarf; twirl cross dwarf; s (no lightning); dance irda; sing woman; display metal; smash figurine; o gargoyle move rug; quaff potion; move rug; o gargoyle rescue;
a magical corridor: touch runes, wait in color for golem, use runes lock mage in and mem, shield, lightning bold, shocking grasp
Outside a Cabin: magic blast door, e, investigate floorboards, spear in boards, u, open hatch, u, dispel magic ropes, rot ropes, blow flute for spiders, dispel magic renegade (especially when his rune appears)
At the Base of a Brown Spire: ee; get all crate; break crate; get chains; wn; search objects; frag golem; get chains; search poo; sw; kill kender, join chains, e, bind dragon, fireball, d, enter portal
animated kitchen: get all ice, w, unlock open trapdoor, down, (wait), listen man, frags, place ring brooch
"
mage test 3b,,"
Within a Dank Prison Cell: s; Scrape slime, Grease hinge, c ‘magic blast’ door, use spell for the color which it does not reveal, Acid green, cold snap white, magic bolt purple, electric blue, fire red; Push door

Lost in a Void Between Dimensions: n listen mother, say yes, south, Listen son, say yes, Display staff to mom, Display box to son, Display amulet to mom, c ‘mending’ staff, c ‘rot’ box, Wear amulet, Wield staff, c ‘dim door’ raz’kazar, Kill him, c ‘di m’ robes

Warmliy lit room: e, open box, get all box, move rug, unlock trapdoor, listen mage (fistandantilus), say accept, go fight monsters, c ‘det m’ ring, get all, place ring brooch, wear brooch, go back to fistandantilus, profit

the Centre Chamber: l replica, (cast 'd m' on each statue to identify), (w is lighting, n is flame, e is ice, s is acid)push statue [w, e, s, n], cast fireball, cold snap, lightning bolt, and acid blast on each respective statue, prep: shield, repose, blur, mem offensive spells, break glass

On the Shore of a Lake; comfort woman, c 'acid', c 'water breath', c 'fire' sister, c 'fly' self, u, c 'acid' brother, d, d, c 'l b' father ... frag ghast (incomplete here; died)

Against the Northern Slope of Mount Nevermind: listen knight, fly self, feather self, e, d, get all corpse, wield cube, dispel magic (monster), frag illusionist, flee, after dead, up west
"
